negative	Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto
positive	Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.
positive	Nous reviendrons!
negative	on s'attendait à mieux (attente, qualité moyenne).
neutral	Pas mal, mais sans plus.
negative	Nous ne pensons pas y retourner
positive	Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire
negative	Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables.
neutral	Bref, passons ....
negative	On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !
negative	Dessert tout sauf maison .... !
negative	Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller .....
neutral	Il vaut encore mieux aller au Mc Do !
positive	Vraiment très agréablement surpris!
positive	Le menu du jour est très bon et bien servi!
positive	toujours très original, on y goutte des plats qu'on ne verra pas autre part.
positive	La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!
positive	On se sent un peu comme à la maison avec la qualité bien relevée!
positive	Et l'équipe est adorable!
positive	Y aller également pour la terrasse qui est très jolie!
positive	concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!
positive	très bien
negative	2 heures dattentes minumum aucun service et patronne execrable !
negative	Tellement decu a deconseiller vivement !!
negative	Les anciens patrons navaient rien avoir, la patronne ny connait rien de rien en restauration
positive	situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar.
negative	Puis nous avons été, disons, surpris par l'accueil.
negative	Un personnage assez dédaigneux nous a accueillis à contre cœur au vu de son attitude.
neutral	Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré.
neutral	Etait ce la fin de saison qui voulait cela?
positive	Hormis ce personnage, les autres personnes de ce restaurants furent courtoises et très affables.. dommage
negative	Au début c'était pas mal du tout puis petit à petit ca a baissé en qualité sans arrêts !
negative	Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité
positive	Nous sommes habitués de l'établissement depuis 3ans, et le restaurant ne fais que s'améliorer.
positive	La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant.
positive	Jamais déçus depuis 3 ans.
positive	Continuez !
positive	Nous y sommes allés par hasard et n'avons pas été déçus!
positive	La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!
positive	Malgré le monde présent, nous avons été rapidement servis.
positive	La nourriture et le vin proposé étaient succulents.
positive	Nous y retournerons!
negative	Accueil minable !
negative	Attente interminable !
negative	Premier plat servi : insectes présents !
negative	Nous alertons le personnel qui rejette la faute sur nous (insectes venant de l'extérieur).
neutral	Nous laissons une seconde chance.
negative	Deuxième plat servi : encore des INSECTES.
neutral	Réponse du personnel : " Si vous ne vouliez pas d'insectes, il fallait manger à l'intérieur !"
negative	Je déconseille fortement !
neutral	Je mange rarement les plats du jour dans les restaurants où je me rends mais j'ai fais une exception cette fois ci.
neutral	Les personnes avec qui je déjeunais ont commandé le pdj et j'ai donc fais comme eux histoire de ne pas nous retarder.
positive	Celui-ci était d'un excellent rapport qualité/prix et très bon en plus.
positive	L'accueil fait par la patronne est toujours souriant et sympathique et le service dynamique et professionnel.
positive	Connaissant bien la cuisine de son mari je ne suis pas étonné de la qualité du plat du jour.
positive	Le cadre vient d'être rafraichi il y a quelques semaines et la maison à colombage qui abrite le restaurant a été rénovée également, bref : Que du positif.
positive	Petit restaurant au décor soigné, aux tables bien mises.
negative	L'accueil manque un peu de chaleur, le service qui suivra également.
neutral	Les différents menus à base de "Mezzés" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût "brûlé".
negative	Nous sommes dans le classique du genre avec peu de surprise et des prix plutôt élevés.
positive	Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.
neutral	Allons, une bonne soirée tout de même, mais un effort souhaité sur les goûts et saveurs méditerranéennes !
positive	A ne pas rater !
positive	Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !
positive	Touristes de passage dans le coin nous y reviendrons sans hésiter une prochaine fois un des meilleurs restaurants fait depuis longtemps
neutral	Bar tapas le soir, décoration changeante et parfois approximative.
neutral	Les vins sont bons mais pas excellent, les tapas quand il y en a encore sont bonnes, heureusement que le personnel est sympathique.
neutral	Depuis longtemps je voulais pousser la porte de cet endroit dans la zone portuaire de Bayonne et voilà nous l'avons fait!!!
neutral	La déco pourrait être revisité mais l'accueil est bon la prise de commande est rapide et très souriante.
neutral	Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .
positive	Bonne soirée passé dans ce lieu
negative	Viande de boeuf façon chewing gum, frites couleur marron foncé molles et baignant encore dans leur huile.
negative	Service austère.
neutral	Que dire de plus?
negative	Nous avons rarement aussi mal mangé à Bordeaux.
negative	Déjà il y a un gros loupé niveau hygiène :le cuisinier sort dehors avec ses gants puis retourne en cuisine sans les changer ...
negative	Ensuite, viande pas cuite et frites molles .... ( malade le lendemain)
negative	Le soir pas de menu donc ça revient super cher ( rapport qualité \prix on ne s'y retrouve pas à mon sens).
neutral	La carte est originale et attractive et les produits de qualité, malheureusement la note est bien trop salée par rapport à l'expérience délivrée.
negative	En effet l'accueil plutôt lourd laisse place à un service manquant d'enthousisame et de sourire.
neutral	Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.
positive	Mon coup de coeur de l'année 2014.
positive	Amateur de fromage, lorsque je suis descendu dans la cave à fromage, en accés illimité, avec plus de 200 fromages à goûter, je me suis cru au paradis pour 32€.
positive	Ajouter à cela une binne salade aux noix et du pain au figues, au lardons et j'en passe, plus un service sympa, j'ai passé un excellent moment à chaque passage ici (ma 1ère visite en a appelé d'autres).
neutral	Possibilité de manger des plats à la carte sur la thématique du fromage.
positive	Très belle cave à vin.
positive	20/20 pour ce resto
positive	Un restaurant pour une soirée étape très sympa avec une réception accueillante.
positive	Simple mais efficace pour un repas du soir , à découvrir mais le midi cela doit être bien.
positive	Nous étions cinq pour repas d'affaire tout c'est très bien passé nous avons tous trouvé nos plats excellents, nous reviendrons avec plaisir.
neutral	Venus, comme chaque année depuis très longtemps, pour mon anniversaire, j'avais réservé sur internet.
negative	Nous arrivons, le responsable ne nous trouve pas sur les réservations.
negative	Il nous dit qu'il ne regarde plus internet...Pourquoi proposer l'option dans ce cas ?????
negative	Et nous case où il peut...
negative	Pain du buffet cramé, on nous dit que c'est normal...Une serveuse d'un certain âge très très désagréable et pressée de voir partir les clients, même pas fini l'entrée, on nous emmène le plat, et je ne vous dit pas les réflexions d'un gôut douteux.
negative	Ca a beaucoup changé, nous n'y remettrons plus les pieds.....
neutral	Cela faisait 15 ans que j était pas revenu
negative	Très déçu:
negative	Salle tres bruyante
negative	Serveuse très spécial
negative	Repas très moyen pas de sauce même en n en demandant à la serveuse réponse de la serveuse "ce soir c est la dèche "
negative	Repas pas tres bien présenté
negative	Digestion compliqué le lendemain tous mes amis et moi même...
negative	Service très très long, la patronne qui raconte sa vie alors que le restaurant est bondé et que tout le monde attend, des erreurs dans les plats, du bruit dans les cuisines, etc.
neutral	Nous nous sommes fait livrer plusieurs fois et nous n'avons jamais été déçus mais le service sur place est déplorable...
positive	Pourtant les plats sont bons et la déco sympa.
neutral	Invité pour un dîner professionnel (groupe de 20 personnes) on nous a présenté ce restaurant comme une bonne adresse de la ville.
neutral	C'est donc avec l'eau à la bouche que nous avons été reçus dans cet établissement.
neutral	Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la "salle d'eau", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)
positive	Petit restau suggéré par une amie, on ne regrette pas l''expérience !
positive	Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.
positive	A recommander absolument.
positive	Vraiment une adresse à retenir pour les amateurs de viande , une entrecôte qui fond dans la bouche , une sauce simple mais goûteuses et un verre de vin de bonne qualité.
positive	Vraiment je recommande chaudement cette adresse.
positive	J'ai tout aimé ... :-)
positive	Accueil et service sont agréables et efficaces
positive	Tous les plats sont bons avec une mention spéciale pour le cassoulet breton
negative	Restaurant bondé le midi mieux vaut arriver tôt
negative	Accueil glacial, à peine installés et la carte en main que l'on vient prendre commande.
negative	Comptez trois quarts d'heure pour avoir uniquement le plat.
negative	D'ailleurs plat qui nous est grossièrement transmit de mains à mains.
negative	Je n'appelle pas ça un service digne d'un restaurants.
negative	Une viande qui n'est pas cuite comme à notre demande : saignante et non à point comme demandé.
negative	Aucune commande de dessert n'a été prise après une demie heure d'attente à la fin du plat.
neutral	Nous avons donc décidés de partir sans dessert !
negative	Départ aussi désagréable que l'accueil.
negative	Déçus de notre soirée car j'ai connu cette taverne sous de meilleurs jours.
negative	Beaucoup trop onéreux pour la qualité des plats.
negative	Un rapport qualité/prix qui se passe donc de commentaire.
negative	Je déconseille +++ .
negative	Nous avons rarement mangé des pizza aussi médiocres... pas cuites, mal garnies,...
negative	AFFREUX!!! à déconseiller!!!
positive	Très bon restaurant .Repas effectué le midi en groupe
positive	Service assez rapide vu le nombre de table,assiette bien remplie,personnel sympa choix suffisant
positive	Un resto très sympa
positive	endroit décontracté simple.
neutral	sans prétention
positive	mais un moment agréable avec des amis pour un rapport qualité prix imbattable
positive	très bonne paella ( pour les connaisseurs ) oui grillée dans le fond comme à Barcelone
positive	tapas copieuses et bonnes
positive	viandes excellentes pour les amateurs
positive	patron atypique mais à connaître.
positive	très à l écoute !!
negative	1ère fois que le service n'est pas à la hauteur de la cuisine dans les restos que je fréquente à Rennes, dommage.
negative	Carte des vins sympa, on me refuse de corriger le tir sur un verre de vin servi plus généreusement précédemment (à 5,90€ le verre, le comportement du patron (?) est décevant).
positive	La viande est bonne, bien cuite comme demandé.
negative	Les frites sont molles, dommage aussi, pour un resto qui sert des plats accompagnés de pommes de terre.
neutral	Bref une formule à des prix corrects pour centre ville, un vrai potentiel mais absence de sens commerçant et des petits hics qui coincent...dommage encore, surtout de l'avoir fait à un commerçant des métiers de bouche du coin...
positive	un bon petit resto qui sert d'excellentes pizzas ou d'autres petits plats pour ceux qui préfèrent débuter autre chose
positive	service tardif possible : pratique après un bon ciné
positive	bon accueil
neutral	Un patron qui pourrait être un cas d'école dans les écoles d'hôtellerie.
negative	Il ne dit pas bonjour, baisse la tête, ne vous regarde dans pas dans les yeux et donne ce sentiment que vous le dérangez.
neutral	Je me suis permis de le remercier pour le service et de m'excuser de le déranger pendant son travail.
negative	Il m'a répondu que ça l'ennuyait de travailler un dimanche.
negative	Je vis à Dijon et c'est bien la dernière fois que j'y mets les pieds.
positive	Nous apprécions toujours de nous restaurer "à l'italienne" dans ce tout petit resto dijonnais.
negative	Mais la dernière fois, c'était un peu moins bien : la pâte à pizza était difficile à couper, ne faudrait-il pas que le patron achète de nouveaux couteaux, car ceux d'IKEA laissent à désirer pour ce gendre de plats.
negative	Et toujours aussi difficile de venir manger sans avoir réservé !
positive	Sur la place du Bareuzay, symbolique de Dijon, une agréable terrasse.
negative	La carte est banale, avec une option "plats bourguignons" classiques.
negative	Carte des vins très limitée en choix aussi bien en quantité qu'en qualité.
neutral	Nous avons pris une andouillette sauce dijonnaise à la moutarde et son accompagnement de frites et une andouillette avec petits légumes et purée.
positive	L'andouillette qui n'était pas une 5A était excellente, les frites, légumes et purée également.
positive	Globalement satisfaisant.
neutral	Rien à reprocher au service si ce n'est la hâte de fermer la boutique !
negative	Sur la forme : l'établissement est plutôt bien décoré, lumineux et agréable, tout à fait dans le style américain.
positive	Le responsable est souriant et accueillant, même s'il en fait parfois un peu trop, mais c'est mieux comme ça.
negative	Sur le fond : j'y suis allé 2 fois dans les 3 derniers mois pour manger un hamburger et franchement le contenu de l'assiette n'est pas à la hauteur du prix et c'est véritablement sur ce point que se situe le problème.
negative	Les hamburgers sont vendus entre 12 et 16 euros ce qui est beaucoup trop pour des préparations très industrielles : pain durci par la cuisson, pas de légumes dans le sandwich et frites qui ne sont pas faites maison.
negative	En résumé cet établissement c'est un peu comme le Canada Dry, ça ressemble mais ça n'en est pas....
neutral	Une ancienne expérience dans cet établissement en 2013 m'a donné envie d'y retourner
neutral	Si l'accueil et le cadre sont agréables, ne soyez pas pressé, 2h30 pour les menus du jour, ça commence à faire
negative	En plus 7 euros 50 pour deux oeufs mimosa sans fioritures est tout simplement du vol
negative	Je vous passe les plats tièdes et sans saveur appuyée
negative	Le café offert ne peux pas tout effacer
negative	Donc déçu de ma seconde expérience, mon porte monnaie s'en souviendra
neutral	Nous avons déjeuné dans ce restaurant en famille.
positive	Le cadre est convivial, le personnel y est agréable.
positive	La carte est généreuse.
positive	Ayant pu goûter à la crêpe montagnarde, celle-ci est copieuse et bien garni.
positive	Le cidre, pas qu'exceptionnel, est frais et s'accompagne bien.
positive	Quand au prix, je ne les trouve pas excessif quand à la qualité des plats servi.
positive	A faire en famille, en couple ou entre amis
positive	la décoration très sympa.
positive	l'endroit a une lumière feutré, c'est très agréable et très relaxant.
positive	la cuisine est très bonne.
positive	le service est nickel.
negative	très déçu : Vaisselle, décor un peu vieillot.
negative	Toiles d'araignées, nappe pas très nette.
negative	Côté repas nous avons dû réclamer deux fois pour avoir le vin que nous avions pris en apéritif.
negative	Le vin n'a pas été servi à la bonne température.
negative	De beaux verres auraient été appréciés pour boire un bon vin.
negative	Pour le plat le serveur nous avait dit que la viande était servie avec une sauce au foie gras, nous n avons pas retrouvé le goût du foie gras car en fait c'était une sauce au vin qui masquait complètement le foie gras.
negative	Pour le dessert farandole de desserts : rien d'extraordinaire que des classiques avec beaucoup de crème au beurre.
positive	En revanche vous ne ressortez pas avec la faim car c'est copieux.
negative	En conclusion bien trop cher pour ce que nous avons mangé : manque d originalité et le service n est pas à la hauteur.
positive	On ne peut dire que du bien de ce restaurant.
positive	Le cadre est tout simplement incroyable / le menu unique a 36 euros vous fait découvrir quelques plats typiques corses....
positive	Attention menu pantagruélique...
positive	De la bonne cuisine de grand mère qui tient au corps.
positive	Et pour couronner le tout de sympathique serveurs a l accent prononcé avec toujours un brin d humour.
neutral	Franchement...quand on vient du pays basque...
positive	On apprécie la chaleur Corse comme ça !
positive	Bravo
negative	Pas terrible.
negative	Pizza sèche, très peu d'ingrédients et un bord énooorme tout sec pour la Regina bianca.
